s_id,X,Y,SchoolName,Address,SCH_Level
1,77.18,28.59,NP Co-Ed Primary School,"Sanjay Gandhi Camp Chanakyapuri, New Delhi 110026",Primary
2,77.20,28.64,NP Co-Ed Middle School,"Balmiki Basti, New Delhi 110001",Middle
3,77.20,28.63,NP Bengali Girls Sr. Secondary School,"Gole Market, New Delhi 110001",Senior Secondary
4,77.20,28.63,Navyug Sr. Secondary School,"Mandir Marg, New Delhi 110001",Senior Secondary
5,77.20,28.63,Kendriya Vidyalaya,Robert Square Gole Market New Delhi 110001,Senior Secondary
6,77.23,28.60,R. S. Junior Modern Public School,Humanyun Road New Delhi-110003,Primary
7,77.21,28.64,NP Nursery School,Panchkuain Road New Delhi - 110001,Nursery
8,77.21,28.63,R.M. Arya Girls No.1 Primary School,"1, Doctors' Lane, Gole Mkt. New Delhi-110001",Primary
9,77.19,28.58,NP Co-Ed Primary School No.3,"Babu Market Sarojni Nagar, New Delhi 110023",Primary
10,77.19,28.57,Navyug Sr. Secondary School,Sarojni Nagar New Delhi - 110023,Senior Secondary
11,77.20,28.57,Navyug Sr. Secondary School,"Laxmi Bai Nagar, New Delhi 110023",Senior Secondary
12,77.19,28.57,Navyug Sr. Secondary School,"Vinay Marg, New Delhi",Senior Secondary
13,77.19,28.58,NP Co-Ed Primary School No.2,"Netaji Nagar, New Delhi 110023",Primary
14,77.24,28.59,JPM Blind Sr. Sec. School,"Lal Bahadur Shastri Marg, New Delhi 110001",Senior Secondary
15,77.22,28.58,Kendriya Vidyalaya,Pragati Vihar Lodhi Road New Delhi 110003,Senior Secondary
16,77.22,28.58,NP Co-Ed Sr. Secondary School,"Lodhi Road, New Delhi 110003",Senior Secondary
17,77.18,28.59,Sanskriti School,Dr. S Radhakrishnan Marg Chanakyapuri New Delhi-110021,Senior Secondary
18,77.20,28.64,Daya Nand Model Girls Sr. Sec. School,"Mandir Marg, New Delhi 110001",Senior Secondary
19,77.20,28.64,Raisina Bengali Sr. Sec. School,"Mandir Marg, New Delhi 110001",Senior Secondary
20,77.20,28.64,St. Thomas Girls Senior Secondary School,Mandir Marg New Delhi-110001,Senior Secondary
21,77.20,28.63,The Elisabeth Gauba School,"Sector II , DIZ Area , Kali Bari Marg  Havlock Square New Delhi - 110001",Primary
22,77.20,28.63,Harcourt Butler Sr. Sec. School,"Mandir Marg, New Delhi 110001",Senior Secondary
23,77.20,28.63,DTEA Sr. Sec. School,"Mandir Marg, New Delhi 110001",Senior Secondary
24,77.22,28.62,P&T Sr. Sec. School,"Atul Grove Road, New Delhi 110001",Senior Secondary
25,77.23,28.63,Modern School,Barakhamba Road New Delhi-110001,Senior Secondary
26,77.23,28.60,Govt. Sarvodaya Kanya Vidyalaya,"Pandara Road, New Delhi 110003",Senior Secondary
27,77.23,28.61,Govt. Boys Sr. Sec. School,"Pandara Road, New Delhi 110003",Senior Secondary
28,77.23,28.60,Sardar Patel Vidyalaya,Lodi Estate New Delhi-110003,Senior Secondary
29,77.23,28.60,Shyama Prasad Vidyalaya,"17-A, Lodhi Estate, New Delhi-110003",Senior Secondary
30,77.23,28.60,NP Co-Ed Sr. Secondary School,"Lodhi Estate, New Delhi 110003",Senior Secondary
31,77.23,28.60,Delhi Kannada Sr. Sec. School,"Lodhi Estate, New Delhi 110003",Senior Secondary
32,77.20,28.59,Navy Children School,"Chanakya Puri, New Delhi-110021",Senior Secondary
33,77.21,28.63,Vidya Public School,Vidya Bhawan Bangla Sahib Road Opp Kali Mandir Connaught Place New Delhi-110001,Secondary
34,77.21,28.63,Jain Happy School,Shaheed Bhagat Singh Marg New Delhi-110001,Secondary
35,77.21,28.63,Union Academy Boys Sr. Sec. School,"Academy Lane, Raja Bazar, New Delhi-110001",Senior Secondary
36,77.21,28.63,R. M. Arya Girls Sr. Sec. School,"Raja Bazar, New Delhi 110001",Senior Secondary
37,77.21,28.64,Andh Mahavidyalya Middle School,"Punchkuian Road, New Delhi-110001",Middle
38,77.21,28.63,St. Columbas School,"Ashok Place, Opp. Gole Dak Khana, New Delhi-110001",Senior Secondary
39,77.21,28.63,Convent Of Jesus & Mary School,Bangla Sahib Marg New Delhi-110001,Senior Secondary
40,77.22,28.64,Bal Sahyog Middle School,"Connaught Circus, (Near Shankar Market) New Delhi-110001",Middle
41,77.21,28.63,Khrist Raja Girls Sec. School,"Bangla Sahib Marg, New Delhi 110001",Secondary
42,77.19,28.58,NP Nursery School,Netaji Nagar New Delhi - 110023,Nursery
43,77.18,28.57,NP Co-Ed Middle School,"Netaji Nagar, New Delhi 110023",Middle
44,77.20,28.58,Mukherjee Public School,Sarojini Nagar New Delhi-110023,Primary
45,77.18,28.58,NP Co-Ed Sr. Secondary School,"Moti Bagh, New Delhi 110021",Senior Secondary
46,77.24,28.57,Lady Irwin Sr. Sec. School,"Canning Road, New Delhi 110001",Senior Secondary
47,77.24,28.60,NP Co-Ed Primary School,"Kaka Nagar, New Delhi 110003",Primary
48,77.22,28.59,Navyug Primary School,"Jor Bagh, New Delhi 110003",Primary
49,77.20,28.64,NP Boys Sr. Secondary School,"Mandir Marg, New Delhi 110001",Senior Secondary
50,77.20,28.63,NP Girls Sr. Secondary School,"Gole Market, New Delhi 110001",Senior Secondary
51,77.20,28.63,NP Co-Ed Sr. Secondary School,"Havlock Square, New Delhi",Senior Secondary
52,77.21,28.63,NP Co-Ed Primary School,Hanuman Lane New Delhi - 110001,Primary
53,77.23,28.63,NP Co-Ed Middle School,"Babar Road, New Delhi 110001",Middle
54,77.23,28.63,NP Co-Ed Primary School No.3,"Babar Road, New Delhi 110001",Primary
55,77.23,28.60,Navyug Secondary School,"Tilak Marg, New Delhi-110001 (Currently sch running at Pandara Road, Sec. Sch Bldg.)",Secondary
56,77.22,28.60,NP Co-Ed Sr. Secondary School,"Aurangzeb Lane, New Delhi 110011",Senior Secondary
57,77.20,28.64,Navyug Sr. Secondary School,"Peshwa Road, New Delhi 110001",Senior Secondary
58,77.21,28.64,NP Co-Ed Primary School,"Ram Krishna Ashram Marg, New Delhi 110001",Primary
59,77.21,28.56,NP Co-Ed Sr. Secondary School,"Ansari Nagar, New Delhi 110004",Senior Secondary
60,77.19,28.57,NP Co-Ed Secondary School,"Nauroji Nagar, New Delhi 110023",Secondary
61,77.20,28.57,NP Co-Ed Primary School,"DG-Block Sarojni Nagar, New Delhi 110023",Primary
62,77.21,28.58,Kendriya Vidyalaya,"INA Colony Opp. Vikas Sadan, New Delhi 110023",Senior Secondary
63,77.21,28.57,NP Model Primary School No.1,Kidwai Nagar New Delhi - 110023,Primary
64,77.21,28.57,NP Co-ed Secondary School,Kidwai Nagar New Delhi - 110023,Secondary
65,77.22,28.57,NP Model Primary School No.2,Kidwai Nagar New Delhi - 110023,Primary
66,77.18,28.58,Navyug Sr. Secondary School,"North-West, Moti Bagh, New Delhi - 110021",Senior Secondary
67,77.20,28.63,NP Girls Middle School,"Gole Market, New Delhi 110001",Middle
68,77.19,28.58,NP Co-Ed Primary School,"Netaji Nagar, New Delhi 110023",Primary
69,77.23,28.63,NP Nursery School,"Babar Road, New Delhi 110001",Nursery
70,77.20,28.63,NP Girls Nursery School,"Havlock Square,Gole Market, New Delhi 110001",Nursery
71,77.19,28.58,NP Co-Ed Primary School No.4,"Babu Market Sarojni Nagar, New Delhi 110023",Primary
72,77.19,28.58,NP Nursery School,Babu Mkt. Sarojni Nagar New Delhi - 110023,Nursery
73,77.21,28.64,NP Nursery School,"Ram Krishna Ashram Marg, New Delhi 110001",Nursery
74,77.21,28.63,R.M. Arya Girls No.2 Primary School,"1, Doctors' Lane ,Gole Mkt. New Delhi-110001",Primary
75,77.22,28.58,NP Nursery School,Aliganj New Delhi - 110004,Nursery
76,77.22,28.58,NP Nursery School,"Lodhi Road, New Delhi 110003",Nursery
77,77.23,28.60,NP Nursery School,Lodhi Estate New Delhi - 110003,Nursery
78,77.21,28.56,NP Nursery School,Ansari Nagar New Delhi - 110004,Nursery
79,77.20,28.57,NP Nursery School,B-Avenue Sarojni Nagar  New Delhi - 110023,Nursery
80,77.22,28.57,NP Model Nursery School No.1,"Kidwai Nagar, New Delhi - 110024",Nursery
81,77.21,28.57,NP Model Nursery School No.2,Kidwai Nagar New Delhi - 110023,Nursery
82,77.21,28.57,NP Day Time Secondary School,Kidwai Nagar New Delhi - 110023,Secondary
83,77.21,28.59,NP Co-Ed Primary School,Tuglak Crescent New Delhi - 110003,Primary
84,77.21,28.57,NP Nursery School,Kidwai Nagar New Delhi - 110023,Nursery
85,77.22,28.58,Navyug Sr. Secondary School,"Lodhi Road, New Delhi 110003",Senior Secondary
86,77.23,28.59,Progress Public School,Lodhi Estate New Delhi - 110003,Primary
87,77.20,28.58,NP Co-Ed Secondary School,"Laxmi Bai Nagar, New Delhi 110023",Secondary
88,77.23,28.62,Bharatiya Vidya Bhavan's Mehta Vidyalaya,Kasturba Gandhi Marg New Delhi-110001,Senior Secondary
89,77.23,28.62,Kerala Edn. Society Sr. Sec. School,"Canning Road, New Delhi 110001",Senior Secondary
90,77.19,28.60,Carmel Convent School,Malcha Marg Chanakyapuri New Delhi-110021,Senior Secondary
91,77.19,28.60,Govt. Sarvodaya Vidyalaya,"Kitchner Road, Malcha Marg, New Delhi 110021",Senior Secondary
92,77.24,28.62,NP Co-Ed Sr. Secondary School,Tilak Marg New Delhi-110001,Senior Secondary
93,77.24,28.62,Guru Harkrishan Public School,1-Purana Quila Road New Delhi-110001,Senior Secondary
94,77.23,28.59,DTEA Sr. Sec. School,"Lodhi Estate, New Delhi 110003",Senior Secondary
95,77.23,28.59,Vidya Bhawan Mahavidyalaya Sr. Sec. School,"Lodhi Estate, New Delhi-110003",Senior Secondary
96,77.20,28.60,NP Co-Ed Middle School,"Kitchner Road, New Delhi 110021",Middle
97,77.22,28.59,Govt. Sarvodaya Vidyalaya,"Jor Bagh, New Delhi 110003",Senior Secondary
98,77.24,28.62,Mater Dei School,Tilak Lane New Delhi-110001,Senior Secondary
99,77.19,28.62,Govt. Sarvodaya Vidyalaya (Dr.Rajendra Prasad),"President Estate, New Delhi-110001",Senior Secondary
100,77.20,28.60,Lion's Vidya Mandir Sec. School,"Kashmir House, New Delhi 110011",Secondary
101,77.21,28.61,NP Co-Ed Primary School,"Duplex Lane (K.Kamraj Lane), New Delhi 110001",Primary
102,77.21,28.61,NP Nursery School,"Duplex Lane (K.Kamraj Lane), New Delhi 110001",Nursery
103,77.20,28.60,Air Force Sr. Sec. School,"OWC, Race Course,  New Delhi.",Senior Secondary
104,77.19,28.60,NP Co-Ed Primary School,"Ashoka Hotel Kautilya Marg, New Delhi",Primary
105,77.18,28.58,NP Co-Ed Primary School,"Moti Bagh, New Delhi 110021",Primary
106,77.22,28.60,Navyug Primary School,"Darbhanga House, New Delhi 110011",Primary
107,77.23,28.61,Nirmal Primary School,Shahjahan Road New Delhi - 110001,Primary
108,77.19,28.57,NP Nursery School,Nauroji Nagar New Delhi - 11023,Nursery
109,77.22,28.62,Navyug Primary School,Pataudi House New Delhi 110001,Primary
110,77.23,28.63,Shri Guru Har Kishan Girls Sec. School,"(Bangla Sahib) Mata Sundri Road, New Delhi",Secondary
111,77.23,28.62,NP Co-Ed Middle School,Sangli Mess (Near Mandi House) Delhi-110001,Middle
112,77.18,28.60,NP Nursery School,"Bapu Dham, New Delhi 110026",Nursery
113,77.23,28.60,NP Nursery School,Pandara Road New Delhi - 110003,Nursery
114,77.20,28.57,NP Co-Ed Primary School No.1,"B -Avenue Sarojni Nagar, New Delhi 110023",Primary
115,77.18,28.60,NP Co-Ed Sr. Secondary School,"Bapu Dham, New Delhi 110026",Senior Secondary
116,77.25,28.56,Govt. Girls Sr. Sec. School No.1,"East of Kailash, New Delhi",Senior Secondary
117,77.25,28.55,MCD Primary School (Co-ed),Sant Nagar (Central Zone) New Delhi,Primary
118,77.25,28.58,MCD Primary School (Co-ed),"Jangpura Extn., New Delhi-14",Primary
119,77.25,28.57,Nigam Pratibha Vidyalaya (Co-ed),"Nehru Nagar, New Delhi",Primary
120,77.27,28.51,GANGA MEMORIAL PUBLIC SCHOOL,"19, JALAM MOHALLA TUGHLAKABAD VILLAGE ND-44",Primary
121,77.26,28.52,Govt. Sarvodaya Bal Vidyalaya,Tughlakabad Extn. New Delhi,Senior Secondary
122,77.25,28.52,Shahi Public School,"3313, Street No-37, Tugalakabad Extn, delhi-110019",Primary
123,77.26,28.53,MCD Primary School No.2 (Girls),"DDA Flats, Kalkaji, New Delhi-110019",Primary
124,77.26,28.53,Nigam Pratibha Vidyalaya (Girls),"DDA Slum, Kalkaji, New Delhi",Primary
125,77.26,28.52,Kiddies World Public School,"RZ 1/57, Tuhlakabad Extn., New Delhi -19",Primary
126,77.26,28.52,Farhi Public School,"RZ 2406/25, Tuglakabad Extn., Opp.Tara Aptt, Nd.",Primary
127,77.28,28.57,Vidya Bhavan Public School,37/222 Khizrabad Behind Lions Hosp. New Friends Clny.,Primary
128,77.26,28.53,Sant Nirankari Public School,"Opp: Gali No. 15, Govindpuri, New Delhi 110019",Middle
129,77.32,28.49,"Babu Khem Chand Advocate Memorial Public School,","Street No. 56, 16ft Road, Subzi Mandi Molarband Extn. Badarpur, New Delhi - 44",Middle
130,77.31,28.54,Good Samaritan School,"B 125 Madanpur Khadar Extn II, New Delhi-76",Middle
131,77.30,28.50,MCD Primary School (Boys),"Badarpur near Shiv Mandir, New Delhi-44",Primary
132,77.30,28.53,MCD Primary School No.1 (Girls),"Madanpur Khadar Village, New Delhi-76",Primary
133,77.31,28.53,New DC Public School,Madanpur Khadar Extn. New Delhi-44,Primary
134,77.30,28.51,MCD Primary School No.1 (Girls),"Gautam Puri, Badarpur, New Delhi-44",Primary
135,77.31,28.49,Hans Memorial School,"D 3, Mohan Baba Ngr, Tajpur, Badarpur, Nd-44",Primary
136,77.31,28.49,Indira Public School,"C25/2, Gali No.5 Mohan Baba Nagar Badarpur, New Delhi",Primary
137,77.31,28.50,Gem Public School,"64/1 AM St, No 10 Molarband Extn. Badarpur, New Delhi-44",Primary
138,77.33,28.50,A.S.Public School,E 159/A Harinagar Extn. Jaitpur Badarpur New Delhi 44,Middle
139,77.28,28.52,MCD Primary School (Girls),"Indira Kalyan Vihar,Okhla Phase-1, New Delhi-20",Primary
140,77.28,28.52,Govt. Girls Sr. Sec. School,"Tekhand, Okhla Phase-I, New Delhi-20",Secondary
141,77.30,28.54,Nigam Pratibha Vidyalaya No.2 (Girls),"Madanpur Khadar Village, New Delhi-76",Primary
142,77.31,28.52,Lakshay Bharti School,"C 104, Aali Vihar, New Delhi 76",Primary
143,77.30,28.50,Nigam Pratibha Vidyalaya (Girls),"Tajpur Pahari, New Delhi-44",Primary
144,77.31,28.54,God'S Grace School,"30-33(Kh.613,614,615) Madan Pur Khadar,New Delhi-76",Primary
145,77.26,28.50,GREEN ARAWALI PUBLIC SCHOOL,"I-4/35, RATIYA MARG (NEAR SHANI BAZAR) SANGAM VIHAR ND-62",Primary
146,77.25,28.50,Vivek Sthali School,"F 2/390 Ratia Marg, Sangam Vihar, New Delhi-62",Primary
147,77.27,28.57,New Cosmos Public School,"136 Taimur Nagar, Near Friends Colony, New Delhi-65",Primary
148,77.25,28.56,MCD Primary School (Co-ed),Garhi Zharia Maria New Delhi -65,Primary
149,77.28,28.52,Nigam Pratibha Vidyalaya No.1 (Boys),"Tehkhand,Okhla Phase-1, New Delhi-20",Primary
150,77.29,28.52,MCD Primary School No.1 (Girls),"Tehkhand,Okhla Phase-1, New Delhi-20",Primary
151,77.29,28.52,B.K.Gyan Deep Public School,"Tehkhand , New Delhi-20",Primary
152,77.29,28.50,New Mother Land Public School,B-159 Pul Prahladpur  New Delhi-44,Primary
153,77.29,28.50,MOTHER PRIDE PUBLIC SCHOOL,"C-16, A&B, VISHWAKARMA COLONY, M.B.ROAD, New Delhi-44",Primary
154,77.29,28.50,MCD Primary School (Girls),MB Road Lal Kuan New Delhi-110044,Primary
155,77.23,28.57,Shri Guru Nanak Primary School,"Kotla Mubarak Pur, New Delhi",Primary
156,77.23,28.58,Nigam Pratibha Vidyalaya (Girls),"Sewa Nagar N Block, New Delhi - 03",Primary
157,77.23,28.57,Dr. Radhakrishnan Intenational School,"C-Block, Defence Colony, New Delhi-110024",Senior Secondary
158,77.24,28.56,MCD Primary School (Co-ed),Jamrood Pur New Delhi,Primary
159,77.22,28.57,MCD Primary School-Rented (Co-ed),"Bagh Nathu Singh Kotla Mubarak Pur, New Delhi",Primary
160,77.24,28.52,Nigam Pratibha Vidyalaya (Co-ed),"Dr.Ambedkar.Nagar, Sec-2, New Delhi 110062",Primary
161,77.23,28.52,MCD Primary School No.3 (Boys),"Sector-6, Dr. Ambedkar Nagar, New Delhi 110062",Primary
162,77.21,28.54,Manav Bharti India International School,"Pancsheel Park (South) , New Delhi - 110017",Senior Secondary
163,77.24,28.52,MCD Primary School No.2 (Boys),"Sector-4, Dr. Ambedkar Nagar, New Delhi 110062",Primary
164,77.24,28.51,Govt. Sarvodaya Vidyalaya,"Dr. Ambedkar Nagar, Sect-V, (Dashinpuri Extension) New Delhi",Senior Secondary
165,77.21,28.53,MCD Primary School-Urdu (Co-ed),"Hauz Rani , New. Delhi",Primary
166,77.23,28.50,Lakshya Deep Public School,L-1/1003 Gali No 15 Sangam Vihar New Delhi 62,Primary
167,77.19,28.43,MCD Primary School (Co-ed),"Bhatti Village, New Delhi",Primary
168,77.20,28.50,St. John Public School,"Maidangarhi, New Delhi-68",Primary
169,77.20,28.52,Little One?s Public School,"122, Saidulajab, New Delhi-30",Primary
170,77.23,28.50,Mount Green Public School,"L 1 8/2073/33, Sangam Vihar New Delhi - 62",Middle
171,77.23,28.49,P.M. Modern Public School,"L-Ist, 77-B/10, Sangam Vihar New Delhi-62",Primary
172,77.24,28.51,MCD Primary School No.3 (Boys),"Sector-1, Dr. Ambedkar Nagar New Delhi",Primary
173,77.24,28.51,MCD Primary School No.3 (Girls),"Sector-1, Dr. Ambedkar Nagar New Delhi",Primary
174,77.24,28.49,Govt. Sarvodaya Bal Vidyalaya,"J-Block, Sangam Vihar, New Delhi",Secondary
175,77.22,28.50,Aastha Public School,"LIA 177, Sangam Vihar, New Delhi 62",Primary
176,77.22,28.57,MCD Primary School (Co-ed),"South Extn. Part ? I, New Delhi",Primary
177,77.24,28.59,MCD Primary School (Co-ed),"Pant Nagar, New Delhi-14",Primary
178,77.22,28.58,MCD Primary School (Co-ed),"Bapu Park, Kotla Mubarak Pur, New Delhi",Primary
179,77.25,28.54,Raisina Bengali Sr. Sec. School,"Chitranjan Park,  New Delhi-19",Senior Secondary
180,77.23,28.57,Nigam Pratibha Vidyalaya (Co-ed),"C-Block Defence Colony, New Delhi",Primary
181,77.23,28.58,MCD Primary School (Co-ed),"Sewa Nagar West, New Delhi - 03",Primary
182,77.23,28.58,MCD Primary School (Co-ed),"Sewa Nagar East, New Delhi - 03",Primary
183,77.22,28.58,MCD Primary School (Co-ed),"Prem Nagar (Central Zone), New Delhi - 03",Primary
184,77.30,28.55,Abdul Kalam Azad Boys Public School,"Sanabil Thokar No.8, Abdul Fazal Enclave-II, New Delhi-25",Middle
185,77.25,28.58,Shri Guru Nanak Primary School,"22/A.Bhogal Lane, New Delhi-110014",Primary
186,77.26,28.58,Govt. Boys Sec. School,"Sarai Kale Khan, New Delhi",Secondary
187,77.26,28.56,Govt. Girls Sr. Sec. School,"Sri Niwaspuri, New Delhi",Senior Secondary
188,77.27,28.54,Adarsh Shiksha Niketan,"Bal Mukand Khand, Giri Nagar, New Delhi-44",Primary
189,77.26,28.54,Govt. Girls Sr. Sec. School No.3,Kalkaji New Delhi-19,Senior Secondary
190,77.27,28.51,Govt. Sarvodaya Kanya Vidyalaya,Tuglakabad Village New Delhi-44,Senior Secondary
191,77.27,28.51,Govt. Boys Sr. Sec. School,Tuglakabad Village New Delhi,Senior Secondary
192,77.25,28.55,Govt. Sarvodaya Kanya Vidyalaya No.1 (Veer Savarkar),Kalkaji New Delhi-19,Senior Secondary
193,77.25,28.54,Govt. Boys Sr. Sec. School,"Block-B, Chitranjan Park New Delhi",Senior Secondary
194,77.26,28.54,Govt. Boys Sr. Sec. School,"Block-G, Kalkaji New Delhi-19",Senior Secondary
195,77.26,28.52,Govt. Sarvodaya Kanya Vidyalaya (Aruna Asif Ali),Tughlakabad Extn. New Delhi,Senior Secondary
196,77.26,28.52,Govt. Boys Sr. Sec. School No.3,Tughlakabad Extn. New Delhi-19,Senior Secondary
197,77.26,28.52,Govt. Girls Sr. Sec. School No.2,Tughlakabad Extn. New Delhi-19,Senior Secondary
198,77.26,28.52,Govt. Girls Sec. School,Tughlakabad Extn. New Delhi-19,Secondary
199,77.26,28.52,Govt. Sarvodaya Bal Vidyalaya (Sardar Vallabhbhai Patel),Tuglakabad Extn. New Delhi-110019,Senior Secondary
200,77.25,28.54,Govt. Sarvodaya Kanya Vidyalaya (Shyama Prasad Mukherjee),Chitranjan Park New Delhi,Senior Secondary
201,77.24,28.51,Malik Vidhaya Bhawan,"D-349, Krishna Park, Devli Road New Delhi-62",Primary
202,77.23,28.50,Durga Public School,"A13/15, Durga Vihar Deoli Village, New Delhi-62",Primary
203,77.23,28.50,Satyanam Public School,"L-Block, Pocket -1, Sangam Vihar, New Delhi - 110062",Middle
204,77.23,28.50,Rajdhani Public School,"484&485 Near Sainik Farm (Behind B Block Raju Park) Deoli, New Delhi - 110062",Middle
205,77.24,28.50,Children Tinu Public School,"B-118, Sangam Vihar, New Delhi-62",Primary
206,77.24,28.50,Savitri Public School,G 314 Sangam Vihar New Delhi - 110062,Secondary
207,77.23,28.50,C.S Public School,"586, Deoli Village, New Delhi-62",Primary
208,77.23,28.54,International Happy School,"369-A, Chirag Delhi, New Delhi-110017",Primary
209,77.23,28.54,MCD Nursery School,"Chirag Delhi, New. Delhi-17",Nursery
210,77.19,28.56,MCD Primary School (Co-ed),Himayun Pur New Delhi-29,Primary
211,77.25,28.55,Guru Harkrishan Public School,"Hemkunt Colony Greater Kailash, New Delhi - 110048",Senior Secondary
212,77.24,28.56,Tagore International School,"E-Block, East of Kailash, New Delhi- 110065",Senior Secondary
213,77.24,28.56,Daisy Dales Sr. Sec. School,"E- 331 A, East of Kailash, New Delhi- 110065",Senior Secondary
214,77.21,28.55,Govt. Sarvodaya Vidyalaya,Shahpur Jat New Delhi,Senior Secondary
215,77.25,28.53,K.R.Manglam World School,"S Block,Greater Kailash-II, New Delhi-48",Senior Secondary
216,77.24,28.52,Govt. Boys Sec. School No.1,"Sect-V, Dr. Ambedkar Nagar New Delhi",Secondary
217,77.23,28.52,Govt. Girls Sr. Sec. School No.2,"Sect-IV, Dr. Ambedkar Nagar, New Delhi",Senior Secondary
218,77.24,28.52,Govt. Girls Sr. Sec. School,"Sect-V, Dr. Ambedkar Nagar",Senior Secondary
219,77.22,28.54,Apeejay School,"Sheikh Sarai - I, New Delhi-17",Senior Secondary
220,77.24,28.52,Govt. Boys Sr. Sec. School (Shaheed Anushuya Prasad),"Sector-5, Dr. Ambedkar Nagar New Delhi 110062",Senior Secondary
221,77.24,28.50,Govt. Girls Sr. Sec. School,"Sangam Vihar, C-Block, New Delhi",Senior Secondary
222,77.24,28.52,Govt. Girls Sr. Sec. School No.2,"Sect-V, Dr. Ambedkar Nagar, New Delhi",Senior Secondary
223,77.20,28.54,MCD Primary School (Co-ed),Police Colony Hauz Khas New Delhi,Primary
224,77.20,28.55,MCD Primary School (Co-ed),Bhim Nagri Hauz Khas New Delhi,Primary
225,77.22,28.54,Govt. Sarvodaya Kanya Vidyalaya,"Soami Nagar, Chirag Delhi New Delhi-110017",Senior Secondary
226,77.20,28.56,Govt. Sarvodaya Kanya Vidyalaya (Gargi),Green Park Extn. New Delhi,Senior Secondary
227,77.22,28.56,Govt. Sarvodaya Vidyalaya,Masjid Moth New Delhi-49,Senior Secondary
228,77.25,28.56,Govt. Sarvodaya Kanya Vidyalaya No.2,"East of Kailash, New Delhi",Senior Secondary
229,77.26,28.56,D.A.V Public School,"Kailash Hills, Near C-Block, East of Kailash, New Delhi-65",Senior Secondary
230,77.20,28.55,St. Anthony's Sr. Sec School,"C-6, SDA, Hauz Khas, New Delhi-110016",Senior Secondary
231,77.24,28.54,Balvant Ray Mehta Vidya Bhawan Anguridevi Shersingh Memorial Academy,Greater Kailash - II New Delhi - 110048,Senior Secondary
232,77.25,28.56,Adarsh Vidya Mandir Public School,"Raja Dhir Sen Marg, Garhi, East of Kailash, N.Delhi-65",Middle
233,77.24,28.52,Dr. B.R. Ambedkar Adarsh Vidhayala,"Dakshin Puri, Sec-5, Ambedkar Nagar New Delhi",Primary
234,77.23,28.49,Shiv Shakti Model Public School,"L-Ist, Sangam Vihar New Delhi-62",Primary
235,77.23,28.50,Ch. Sahib Singh Memorial Public School,"L-1 /198, Arthal Mandir Marg, Sangam Vihar, New Delhi-62",Primary
236,77.24,28.50,Anand Vidya Bharti Edn. Society School,F-2/476 Sangam Vihar New Delhi - 62,Middle
237,77.22,28.50,Modern Green Valley Public school,"L-1/33-D, Sangam Vihar ND-62",Middle
238,77.26,28.58,MCD Primary School (Girls),"Sarai Kale Khan Village, New Delhi",Primary
239,77.28,28.55,MCD Primary School (Co-ed),"Water Sewage Treatment Plant, Okhla, New Delhi",Primary
240,77.26,28.53,Nigam Pratibha Vidyalaya No.1 (Girls),"Tuglakabad Extn., New Delhi",Primary
241,77.26,28.52,MCD Primary School No.2 (Girls),"Tuglakabad Extn., New Delhi",Primary
242,77.27,28.56,MCD Primary School (Co-ed),"Sarai Julena New Friends Colony,  New Delhi 110025",Primary
243,77.33,28.51,Arpan Public School,Arpan Vihar J-Block Jait Pur Vistaar New Delhi-44,Middle
244,77.32,28.53,MCD Primary School (Boys),"Madanpur Khadar J.J. Phase ? II, New Delhi-76",Primary
245,77.33,28.49,Sai Vidya Niketan Public School,"Hari Nagar Extn Part-II, Badarpur, New Delhi-44",Primary
246,77.32,28.49,MCD Primary School (Boys),"Meethapur Extn., New Delhi-44",Primary
247,77.32,28.51,MG Public School,Saurabh Vihar Badarpur New Delhi-44,Primary
248,77.33,28.50,Happy Holy Public School,"F-Block, Harsh Vihar, Hari Nagar Part-III, Badarpur New Delhi-44",Primary
249,77.31,28.50,Nigam Pratibha Vidyalaya (Girls),"Molarband, New Delhi-44",Primary
250,77.32,28.50,Nigam Pratibha Vidyalaya (Girls),"Meethapur, New Delhi-44",Primary
251,77.32,28.50,Tushar Modern School,School Rd. Lakhpat Colony Molarband New Delhi-44,Primary
252,77.32,28.49,A.S Public School,"E-159/A, Hari Nagar Extn., (Jaitpur Road) Badarpur, New Delhi-110044",Primary
253,77.33,28.50,Krishna Modern Public School,"Prince Colony, Harsh Vihar, Tanki wala Road, Mithapur, Badarpur New Delhi-110044",Primary
254,77.32,28.53,Nigam Pratibha Vidyalaya (Girls),"Madanpur Khadar J.J. Phase ? III, New Delhi-76",Primary
255,77.26,28.57,MCD Primary School (Co-ed),"Damkal Kendra, Hari Nagar Ashram, New Delhi-110014",Primary
256,77.26,28.58,MCD Primary School (Co-ed),"Kilokari Village, New Delhi",Primary
257,77.26,28.58,Nigam Pratibha Vidyalaya (Boys),"Hari Nagar Ashram, New Delhi-110014",Primary
258,77.27,28.56,Govt. Sarvodaya Kanya Vidyalaya,New Friends Colony New Delhi,Senior Secondary
259,77.27,28.56,MCD Primary School (Girls),Bharat Nagar New Delhi 110025,Primary
260,77.25,28.57,MCD Primary School (Co-ed),Lajpat Nagar Part-II New Delhi,Primary
261,77.29,28.50,Nigam Pratibha Vidyalaya (Girls),"Pulpehladpur , New Delhi",Primary
262,77.33,28.51,Nigam Pratibha Vidyalaya No.1 (Girls),"Jaitpur, P.O.Badarpur, New Delhi-44",Primary
