s_id,X,Y,SchoolName,Address,SCH_Level
"3,449",77.24,28.63,Nav Shakti Girls Sr. Sec. School,"11,Vishnu Digamber Marg, New Delhi-110002",Senior Secondary
"3,450",77.24,28.63,Andhra Edn. Society Sr. Sec. School,1 DDU Marg (Rouse Avenue) New Delhi 110002,Senior Secondary
"3,451",77.24,28.64,Herra School,Nursery Masjid Behind L.N.J.P Hospital New Delhi 110002,Middle
"3,452",77.23,28.64,Govt. Sarvodaya Kanya Vidyalaya,"Bulbuli Khana, Asaf Ali Road, New Delhi 110002",Senior Secondary
"3,453",77.24,28.63,Govt. Co-ed. Middle School,"Firozshah Kotla, New Delhi-110002",Middle
"3,454",77.23,28.63,Kamlesh Balika Vidyalaya,"5, kotla Road, New Delhi-110002",Primary
"3,455",77.24,28.65,Ramjas Girls Sr. Sec. School,"Darya Ganj, New Delhi-110002.",Senior Secondary
"3,456",77.23,28.65,Rabea Girls Public School,"Gali Qasimjan, Ballimaran Delhi-110006",Senior Secondary
"3,457",77.23,28.65,Govt. Girls Sr. Sec. School (Urdu Medium),"Gali Nawab Hoharu, Ballimaran, Chashma Building, Delhi 110006",Senior Secondary
"3,458",77.18,28.65,MCD Primary School (Co-ed),"Basti Reigar, Arya Samaj Road Karol Bagh, New Delhi-110005",Primary
"3,459",77.19,28.66,Govt. Girls Sr. Sec. School,New Rohtak Road New Delhi 110005,Senior Secondary
"3,460",77.19,28.66,Govt. Girls Middle School,"22-B, Dev Nagar New Delhi 110005",Middle
"3,461",77.22,28.64,Nav Shakti Vidya Mandir Sr. Sec. School,"Pahar Ganj, New Delhi-110055",Senior Secondary
"3,462",77.22,28.64,St. Anthony's Girls Sr. Sec. School,"Pahar Ganj, New Delhi-110055",Senior Secondary
"3,463",77.21,28.64,S.D. Bankey Bihari Vidya Mandir,"3180, Sangatarashan, Pahar Ganj, New Delhi -110055",Primary
"3,464",77.22,28.65,Govt. Girls Sr. Sec. School No.1,"Ram Nagar, Pahar Ganj, New Delhi",Senior Secondary
"3,465",77.21,28.65,MCD Primary School (Co-ed),"Hanuman Mandir, Qutab, Road Nabi Karim New Delhi-55",Primary
"3,466",77.21,28.65,Sanatan Ddharma Hari Mandir Girls Sr. Sec. School,"Pahar Ganj, Nabi Karim, New Delhi-110055",Senior Secondary
"3,467",77.21,28.65,MCD Primary School (Girls),"Nabi Karim, Pahar Ganj, New Delhi -110055",Primary
"3,468",77.19,28.66,Govt. Boys Sr. Sec. School,"Near Liberty Cinema, New Rohtak Road, New Delhi",Senior Secondary
"3,469",77.19,28.66,Govt. Boys Sec. School No.1,"Ramjas Lane, Karol Bagh, New Delhi110005",Secondary
"3,470",77.22,28.65,St. Anthony's Boys Sec. School,"Pahar Ganj, New Delhi-110055",Secondary
"3,471",77.09,28.63,MCD Primary School (Co-ed),"Shiv Nagar (Karol Bagh Zone), Karol Bagh New Delhi-110005",Primary
"3,472",77.18,28.63,Nigam Pratibha Vidyalaya (Co-ed),"R Block New Rajinder Nagar, New Delhi - 110060",Primary
"3,473",77.18,28.64,Govt. Sarvodaya Vidyalaya (Rana Pratap),New Rajinder Nagar New Delhi 110060,Senior Secondary
"3,474",77.19,28.64,Bal Bharti Public School,Ganga Ram Hospital Marg New Delhi-110060,Senior Secondary
"3,475",77.18,28.64,G.D Salwan Public School,Old Rajinder Nagar New Delhi-110060,Senior Secondary
"3,476",77.18,28.65,Sanjivya Model School,"Bapu Bhawan, Sat Nagar, Karol Bagh New Delhi 110005",Primary
"3,477",77.18,28.65,Govt. Sarvodaya Kanya Vidyalaya (Baba Ramdev),Prasad Nagar New Delhi 110005,Senior Secondary
"3,478",77.19,28.64,Govt. Sarvodaya Kanya Vidyalaya (Swami Dayanand),"Old Rajinder Nagar, New Delhi 110060",Senior Secondary
"3,479",77.19,28.64,MCD Primary School (Co-ed),"Old Rajinder Nagar, New Delhi - 110060",Primary
"3,480",77.20,28.65,Rai Kedar Nath L. M. Girls Sr. Sec. School,2107/37 D.B. Gupta Road Karol Bagh New Delhi-110005,Senior Secondary
"3,481",77.19,28.65,Satbharwan Girls Sr. Sec. School,"Karol Bagh, Arya Samaj Road, New Delhi-110005",Senior Secondary
"3,482",77.20,28.65,C L Bhalla DAV Sr. Sec. School,"Near Naaz Cinema, Jhanadewalan, New Delhi-110055",Senior Secondary
"3,483",77.20,28.65,Jagat Vidhya Sanatan Dharam Girls Sr. Sec. School,"Jhandewalan, D-2, Link Road, Karol Bagh, New Delhi-110005",Senior Secondary
