m_id,Station,Line,X,Y
110,Mayur Vihar Pocket I,Pink Line,77.2987023,28.6058619
111,Mewala Maharajpur,Violet Line,77.3023001,28.4418747
112,MG Road,Yellow Line,77.0804652,28.4794579
113,Model Town,Yellow Line,77.1939912,28.7027136
114,Mohan Estate,Violet Line,77.29458455,28.5195895
115,Mohan Nagar,Red Line,77.10608185,28.60631905
116,Moolchand,Violet Line,77.2342783,28.5644043
117,Moti Nagar,Blue Line,77.1424288,28.657859
118,Mundka,Green Line,77.0305741,28.6824341
119,Mundka Industrial Area,Green Line,77.0171333,28.6834491
120,Munirka,Magenta Line,77.1710841,28.554886
121,Najafgarh,Grey Line,76.9823908,28.612304
122,Nangli,Grey Line,77.0104375,28.6173003
123,Nangloi,Green Line,77.0647319,28.6824007
124,Nangloi Railway station,Green Line,77.0562463,28.6822009
125,Naraina Vihar,Pink Line,77.1403175,28.6273375
126,Nawada,Blue Line,77.0450787,28.6202758
127,Neelam Chowk Ajronda,Violet Line,77.3123599,28.3974824
128,Nehru Enclave,Magenta Line,77.2515057,28.5460584
129,Nehru Place,Violet Line,77.252952,28.54925735
130,Netaji Subhash Place,Red Line,77.15264042,28.69605175
131,New Ashok Nagar,Blue Line,77.3015085,28.5890885
132,New Delhi,Yellow Line,77.2217373,28.6436415
133,Nirman Vihar,Blue Line branch,77.28683489,28.63650605
134,Noida Electronic City,Blue Line,77.293303,28.5793538
135,Noida Sector 15,Blue Line,77.0848883,28.4808629
136,Noida Sector 16,Blue Line,77.0848883,28.4808629
137,Noida Sector 18,Blue Line,77.0848883,28.4808629
138,Noida Sector 34,Blue Line,77.0848883,28.4808629
139,Noida Sector 52,Blue Line,77.0848883,28.4808629
140,Noida Sector 59,Blue Line,77.0848883,28.4808629
141,Noida Sector 61,Blue Line,77.0848883,28.4808629
142,Noida Sector 62,Blue Line,77.0848883,28.4808629
143,Okhla Bird Sanctuary,Magenta Line,77.321595,28.5529418
144,Okhla NSIC,Magenta Line,77.2648487,28.5544828
145,Okhla Vihar,Magenta Line,77.2919304,28.5613002
146,Old Faridabad,Violet Line,77.0848883,28.4808629
147,Palam,Magenta Line,77.0828242,28.5918933
148,Panchsheel Park,Magenta Line,77.2140757,28.5433525
149,Pandit Shree Ram Sharma,Green Line,76.9511988,28.689281
150,Paschim Vihar East,Green Line,77.1122953,28.6773985
151,Paschim Vihar West,Green Line,77.1022255,28.6786514
152,Patel Chowk,Yellow Line,77.214031,28.6229664
153,Patel Nagar,Blue Line,77.1686983,28.6455858
154,Peera Garhi,Green Line,77.0926793,28.6798074
155,Pitam Pura,Red Line,77.1322497,28.7032676
156,Pratap Nagar,Red Line,77.19933568,28.6664902
157,Preet Vihar,Blue Line branch,77.29537443,28.6414952
158,Pul Bangash,Red Line,77.20752912,28.6663751
159,Punjabi Bagh,Green Line,77.1324614,28.668945
160,Punjabi Bagh West,Pink Line,77.1420875,28.6703201
161,R.K.Puram,Magenta Line,77.1847012,28.5514261
162,Raja Nahar Singh,Violet Line,77.3164281,28.3400192
163,Raj Bagh,Red Line,77.2094999,28.6408602
164,Rajdhani Park,Green Line,77.0439437,28.6823085
165,Rajendra Place,Blue Line,77.1782756,28.6424955
166,Rajiv Chowk,Yellow Line,77.2196996,28.6327804
167,Rajouri Garden,Blue Line,77.11606038,28.6421518
168,Ramakrishna Ashram Marg,Blue Line,77.2085787,28.6392436
169,Ramesh Nagar,Blue Line,77.1316496,28.6527444
170,Rithala,Red Line,77.1071813,28.7208064
171,Rohini East,Red Line,77.1260386,28.7075901
172,Rohini Sector 18,Yellow Line,77.1398323,28.7383477
173,Rohini West,Red Line,77.115385,28.7149569
174,Sadar Bazaar Cantonment,Magenta Line,77.1111533,28.5771509
175,Saket,Yellow Line,77.2137253,28.5244107
176,Samaypur Badli,Yellow Line,77.1382654,28.7446158
177,Sant Surdas (Sihi),Violet Line,77.3162264,28.3546513
178,Sarai,Violet Line,77.2219388,28.6517178
179,Sarita Vihar,Violet Line,77.28839655,28.5286597
180,Sarojini Nagar,Pink Line,77.1953703,28.5741575
181,Satguru Ramsingh Marg,Green Line branch,77.1574772,28.6619327
182,Sector 28,Violet Line,77.03257609,28.54525655
183,Seelampur,Red Line,77.26675403,28.6698302
184,Shadipur,Blue Line,77.1582947,28.6516362
185,Shahdara,Red Line,77.28974036,28.6734037
186,Shaheed Nagar,Red Line,77.2120573,28.5307795
187,Shaheed Sthal,Red Line,77.4155822,28.6706109
188,Shakurpur,Pink Line,77.1496094,28.6857668
189,Shalimar Bagh,Pink Line,77.15086655,28.71745265
190,Shankar Vihar,Magenta Line,77.13966549,28.55743865
191,Shastri Nagar,Red Line,77.18199977,28.66997485
192,Shastri Park,Red Line,77.25039874,28.6682776
193,Shiv Vihar,Pink Line,77.03543017,28.61753755
194,Shivaji Park,Green Line,77.1304722,28.6750317
195,Shivaji Stadium,Orange Line,77.2160589,28.6315087
196,Shyam Park,Red Line,77.26846413,28.6988072
197,Sikandarpur,Yellow Line,77.092999,28.4812704
198,Sir Vishweshwaraiah Moti Bagh,Pink Line,77.175741,28.5785326
199,South,Pink Line,77.2219388,28.6517178
200,Subhash Nagar,Blue Line,77.1087611,28.6418074
