S.no,property,location,carpet_area_sqft,Price,Rate_per_sqft,status,floor,transaction,facing,overlooking,ownership,parking,city,bedroom,X,Y,nearest_metro_1,nearest_metro_2,nearest_school_1,nearest_school_2,nearest_school_3,nearest_hospital_1,nearest_hospital_2,nearest_hospital_3,distance_nearest_metro_km,distance_nearest_hospital_km,distance_nearest_school_km
1566,, Om Vihar,1500,920000,4089,Ready to Move,Ground out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,1 Open,Delhi,1,77.0482028,28.5106747,182,40,2217,2205,1750,128,89,109,4.212297778,4.469098304,1.054156124
1567,, Kalka Apartments,1540,18500000,10571,Ready to Move,1 out of 8,Resale,South,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",Delhi,3,76.916105,30.789913,58,176,5401,5402,3774,103,99,102,219.2383714,217.5187751,213.8854359
1569,, Delta 1 Greater Noida,250,8000000,16516,Ready to Move,Ground out of 1,Resale,North,"Garden/Park, Main Road",Power Of Attorney,1 Open,Noida,2,77.525731,28.478477,15,143,5558,413,5516,118,1,24,23.26504158,27.22619978,20.91096941
1570,, Dwarka,1400,2600000,10000,Ready to Move,2 out of 4,Resale,North - West,Garden/Park,Power Of Attorney,1 Covered,Delhi,1,76.9687873,28.464282,202,59,2160,2236,1859,128,109,74,10.95980346,13.44824192,6.186162714
1572,, JVTS Gardens,760,5130000,3677,Ready to Move,1 out of 4,Resale,North - West,Main Road,Freehold,2 Open,Delhi,3,77.177987,28.490721,20,46,520,5548,5546,29,34,40,1.806994199,3.684823444,1.053927377
1573,, Gupta Ji Floors,490,15000000,3876,Ready to Move,1 out of 4,New Property,East,Main Road,Freehold,"2 Covered,",Faridabad,4,75.885075,22.757433,96,162,743,167,459,29,4,28,567.005466,655.0532274,645.8525926
1574,, Narela Sector A9,1400,1700000,3935,Ready to Move,3 out of 4,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Delhi,1,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
1575,, Pragya Kunj Apartments,1370,3200000,6325,Ready to Move,Ground out of 4,Resale,East,"Garden/Park, Pool, Main Road",Leasehold,4 Covered,Ghaziabad,1,77.067709,28.597112,24,147,2041,1840,2011,25,60,82,1.709633012,0.288168343,0.409185583
1576,, Windsor and Nova Society,500,4800000,6316,Ready to Move,Ground out of 4,Resale,North,"Garden/Park, Main Road",Freehold,1 Covered,Ghaziabad,2,79.052901,28.816459,58,187,1203,1580,1343,129,94,100,181.8857547,192.7365146,191.3784853
1577,, ATS Tourmaline,900,50000000,8621,Ready to Move,23 out of 24,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,Gurgaon,5,80.564846,27.128441,162,177,5558,5516,5604,1,118,24,384.8378258,396.1950575,389.4239593
1578,, ADITYA CELEBRITY HOMES,670,3900000,7091,Ready to Move,3 out of 15,Resale,South -West,"Garden/Park, Pool, Main Road",Leasehold,,Noida,1,77.383949,28.570724,15,143,1202,1184,1284,24,118,53,5.559385784,8.515972865,6.542523783
1592,Pramod, Vrindavan Green,1850,6000000,4615,Ready to Move,Ground out of 11,Resale,North - West,Garden/Park,Freehold,2 Open,Ghaziabad,2,77.366802,28.508477,10,143,5558,413,5516,1,118,10,7.03847778,9.91778615,2.979821273
1593,Globic Homes Consulting, Safdarjung,2800,97500000,30469,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,2 Covered,Delhi,4,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
1595,, Palam Vihar Gurgaon,1467,45000000,14516,Ready to Move,4 out of 32,Resale,East,Garden/Park,Freehold,1 Covered,Gurgaon,5,77.0429556,28.5179556,182,40,2217,2205,1750,128,89,109,3.24202878,3.813926831,0.814191944
1596,, Rosewood City,750,28000000,20334,Ready to Move,8 out of 15,Resale,North - West,"Garden/Park, Main Road",Leasehold,2 Covered,Gurgaon,3,77.05448544,28.41023405,59,60,743,506,831,128,29,28,5.812297882,15.57368916,9.843469956
1597,, Mahagun Mezzaria,1600,42000000,12245,Ready to Move,10 out of 22,Resale,North,Main Road,Freehold,1 Covered,Noida,4,77.382915,28.563061,15,143,5574,1202,1284,24,118,53,5.393510197,8.802490928,6.925747974
1598,, Ozone Park Apartments,1950,7800000,4298,Ready to Move,2 out of 4,Resale,East,"Garden/Park, Main Road",Leasehold,1 Covered,Faridabad,3,77.292718,28.599742,108,109,1356,1424,1420,53,101,24,0.376672419,0.706495256,0.303054151
1599,, DLF City Phase 3 Gurgaon,3497,56000000,4617,Ready to Move,1 out of 3,Resale,North,Main Road,Freehold,1 Open,Gurgaon,10,77.0836441,28.4640865,59,60,831,818,5547,28,29,128,1.328368634,10.12802175,4.088539934
1600,, Jaypee Aman,1440,4400000,5939,Ready to Move,1 out of 4,Resale,West,"Garden/Park, Pool, Main Road",Freehold,1 Covered,Noida,2,77.366802,28.508477,10,143,5558,413,5516,1,118,10,7.03847778,9.91778615,2.979821273
1601,, Shyam Park Extension,1400,9800000,2667,Ready to Move,2 out of 9,Resale,South,Garden/Park,Freehold,1 Open,Ghaziabad,4,72.825793,19.060088,96,202,2126,1863,1881,128,29,109,537.0990194,1153.253304,1141.836748
1602,, DLF Ankur Vihar,1750,1200000,10652,Ready to Move,3 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",Ghaziabad,1,73.24115,22.321597,96,202,2126,1863,2125,128,109,74,681.9760451,810.6535011,797.4284963
1604,, Experion Windchants,1500,69500000,5000,Ready to Move,2 out of 4,New Property,East,"Garden/Park, Main Road",Freehold,2 Covered,Gurgaon,5,77.015669,28.517747,182,40,2071,2070,1898,128,109,18,3.584157228,5.587988583,2.860212991
